,Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
173,TOI-444 b,,0.247±0.018,17.96360±0.00004,0.133±0.006,609±61,transit,187.205+0.270−0.269,0.960±0.130,5225±70,[78]
174,TOI-470 b,,0.387±0.026,12.19148±0.00003,0.119±0.008,660±70,transit,425.50+1.31−1.30,0.87±0.09,5190±90,[78]
175,TOI-615 b,0.435+0.086−0.082,1.693+0.052−0.057,4.6615983+0.0000025−0.0000016,0.0678+0.0031−0.0026,1666±24,transit,1155±6,1.449±0.087,6850±100,[79]
176,TOI-622 b,0.303+0.069−0.072,0.824+0.028−0.029,6.402513+0.000031−0.000054,0.0708+0.0052−0.0059,1388±22,transit,400.2±0.6,1.313±0.079,6400±100,[79]
177,TOI-672 b,0.0760,0.470+0.008−0.009,3.633575±0.000001,,676.15,transit,,0.5399±0.0204,3765±65,[71]
178,TOI-700 e,0.0025730809[80],0.08502+0.00794−0.00669,27.80978+0.00046−0.0004,0.134±0.0022,3500[81],transit,101.52,0.416±0.01,3480±135,Habitable zone planet[82][83]
179,TOI-715 b,,0.1383±0.0057,19.288004+0.000027−0.000024,0.0830±0.0027,234±12,transit,138.306+0.280−0.279,0.240±0.012,3075±75,[84]
180,TOI-733 b,0.0180±0.0022,0.178±0.008,4.884765+0.000019−0.000024,0.0618+0.0036−0.0039,1055.8+36.2−31.3,transit,245.5±0.2,0.956+0.050−0.026,5585±60,[85]
181,TOI-778 b,2.8±0.2,1.37±0.04,4.633611±0.000001,0.060±0.003,1561+33−32,transit,527.536+3.663−3.614,140±0.05,6643±150,[86]
182,TOI-784 b,0.03043+0.00261−0.00258,0.172+0.010−0.008,2.7970365+0.0000031−0.0000030,0.038±0.001,,transit,210.696+0.360−0.359,0.910±0.100,5558±100,Also known as HD 307842.[87]
183,TOI-836 b,0.0143+0.0029−0.0027,0.1520±0.0060,3.81673±0.00001,0.04220±0.00093,871±36,transit,89.7009+0.0959−0.0956,0.665±0.010,4552±154,[88]
184,TOI-836 c,0.0302+0.0085−0.0027,0.2308±0.0079,8.59545±0.00001,0.0750±0.0016,665±27,transit,89.7009+0.0959−0.0956,0.665±0.010,4552±154,[88]
185,TOI-858B b,1.10+0.08−0.07,1.255±0.039,3.2797178±0.0000014,0.04435+0.00100−0.00098,1529+23−22,transit,816.987+4.951−4.892,1.081+0.076−0.070,5842+84−79,[89]
186,TOI-908 b,0.050773+0.012938−0.012708,0.2842±0.0138,3.183792±0.000007,0.041657±0.000002,1317±38,transit,573.214+0.638−0.634,0.950±0.010,5626±61,[90]
187,TOI-913 b,0.0208,0.219+0.011−0.009,11.098644+0.000587−0.000581,,712.01,transit,212.1,0.8200±0.0973,4969±129,[71]
188,TOI-1052 b,0.0532±0.0053,0.256+0.026−0.021,9.139703+0.00062−0.00063,0.09103+0.00062−0.00063,1135,transit,423.365+1.826−1.810,1.204±0.025,6146±62,[91]
189,TOI-1052 c,0.108+0.013−0.012,,35.806+0.453−0.381,0.2263+0.0024−0.0023,719,radial vel.,423.365+1.826−1.810,1.204±0.025,6146±62,[91]
190,TOI-1194 b,0.456+0.055−0.051,0.767+0.045−0.041,2.310644±0.000001,0.03428±0.00055,1391+38−37,transit,488.149+2.136−2.117,1.007+0.050−0.048,5446+51−48,[92]
191,TOI-1221 b,<3.5,0.260+0.012−0.011,91.68278+0.00032−0.00041,0.387+0.026−0.023,440±60,transit,451.437+1.262−1.259,0.930±0.220,5592±50,[93]
192,TOI-1338 c,0.205±0.037,,215.5±3.3,0.794±0.016,,radial vel.,1318±5,1.13+0.31,6160,Circumbinary planet[94]
193,TOI-1408 b,1.69±0.20,1.5,4.4247110±0.0000016,0.05804±0.00020,,transit,454.937+1.363−1.360,1.331±0.014,6306±32,[95]
194,TOI-1410 b,0.0334,0.290+0.014−0.010,1.216901±0.000038,,1181.44,transit,236.8,0.7960±0.0370,4668±50,[71]
195,TOI-1416 b,0.0109±0.0015,0.145±0.007,1.0697568±0.0000028,0.0190±0.0003,1517±39,transit,179.430+0.253−0.252,0.798+0.035−0.044,4884±70,[96]
196,TOI-1420 b,0.0790±0.0120,1.061±0.029,6.9561063±0.0000017,0.0710±0.0012,957±17,transit,658.569+0.918−0.911,0.9870±0.0480,5510±110,[97]
197,TOI-1470 b,0.0230+0.0038−0.0039,0.194±0.004,2.527093+0.000004−0.000003,0.0285±0.0004,734,transit,169.439±0.243,0.471±0.011,3709±11,[98]
198,TOI-1470 c,0.02278+0.00903−0.00872,0.220±0.002,18.08816+0.00006−0.00008,0.106±0.001,373,transit,169.439±0.243,0.471±0.011,3709±11,[98]
199,TOI-1669 b,0.573±0.074,,502±16,,,radial vel.,362.934+1.210−1.200,1.00±0.05,5542.3±100.0,[99]
200,TOI-1680 b,0.0100 +0.0035−0.0022,0.131 +0.00562−0.00437,4.8026345+0.0000040−0.0000039,0.03144+0.00025−0.00026,404±14,transit,121.1,1.1798±0.0044,3225+99−100,super-Earth planet[100]
201,TOI-1694 b,0.0809,0.487+0.042−0.071,3.770179+0.000058−0.000060,,1136.57,transit,405.7,0.8450±0.1089,5135±50,[71]
202,TOI-1694 c,1.05±0.05,,389.2±3.9,,,radial vel.,405.7,0.8450±0.1089,5135±50,[101]
203,TOI-1736 b,0.040±0.016,0.223±0.016,7.073088±0.000007,0.0740±0.0009,1076±39,transit,290.111+1.050−1.043,1.08±0.04,5807±46,[102]
